debate,character,text
1A,Tulsi Gabbard,"I enlisted in the Army National Guard after the Al Qaida terror attacks on 9/11 so I could go after those who had attacked us on that day. I still serve as a major. I served over 16 years, deployed twice to the Middle East, and in Congress served on the Foreign Affairs and Armed Services Affairs for over six years."
1A,Tulsi Gabbard,"I know the importance of our national security, as well as the terribly high cost of war. And for too long, our leaders have failed us, taking us from one regime change war to the next, leading us into a new cold war and arms race, costing us trillions of our hard-earned taxpayer dollars and countless lives."
1A,Tulsi Gabbard,"This insanity must end. As president, I will take your hard-earned taxpayer dollars and instead invest those dollars into serving your needs, things like health care, a green economy, good-paying jobs, protecting our environment, and so much more."
1A,Diaz-Balart,"Mayor De Blasio, good evening. You're the mayor of the biggest city in the United States, but it's also one of the cities in the country with the greatest gap between the wealthy and the poor. How would you address income inequality?"
1A,Bill De Blasio,"Well, we've been addressing income inequality in New York City by raising wages, by raising benefits, by putting money back in the hands of working people, $15 minimum wage, paid sick days, pre-K for all, things that are making a huge difference in working people's lives."
1A,Bill De Blasio,"But let me tell you, what we're hearing here already in the first round of questions is that battle for the heart and soul of our party. I want to make it clear. This is supposed to be the party of working people. Yes, we're supposed to be for a 70 percent tax rate on the wealthy. Yes, we're supposed to be for free college, free public college, for our young people. We are supposed to break up big corporations when they're not serving our democracy."
1A,Bill De Blasio,"This Democratic Party has to be strong and bold and progressive. And in New York, we've proven that we can do something very different, we can put money back in the hands of working people. And let me tell you, every time you talk about investing in people and their communities, you hear folks say there's not enough money. What I say to them every single time is, there's plenty of money in this world, there's plenty of money in this country. It's just in the wrong hands. Democrats have to fix that."
1A,Diaz-Balart,"Congressman Delaney, do you agree?"
1A,John Delaney,"I think we have to do real things to help American workers and the American people. Right? This is the issue that all of us hear on the campaign trail. We need to make sure everyone has a living wage. And I've called for a doubling of the earned income tax credit, raising the minimum wage, and creating paid family leave. That will create a situation where people actually have a living wage. That gets right to workers."
1A,John Delaney,"Then we've got to fix our public education system. It's not delivering the results our kids needs, nor is college and post high school career and technical training programs doing that. You know, I'm very different than everyone else here on the stage. Prior to being in Congress, I was an entrepreneur. I started two businesses. I created thousands of jobs. I spent my whole career helping small- to mid-sized businesses all over the country, 5,000 of them I supported. The Obama administration gave me an award for lending to disadvantaged communities."
1A,John Delaney,"I know how to create jobs. We need a short-term strategy which is to put money in the pockets of workers with the earned income tax credit, raising the minimum wage, and creating family leave, and then we need to have a long-term strategy to make sure this country is competitive and we're creating jobs everywhere in this country."
1A,Diaz-Balart,"Thank you. Governor Inslee, how would you address income inequality?"
1A,Jay Inslee,"Well, I'm a little bit surprised. I think plans are great, but I'm a governor. And we've got to realize the people who brought us the weekend, unions, need -- are going to bring us a long overdue raise in America."
1A,Jay Inslee,"And I'm proud of standing up for unions. I've got a plan to reinvigorate collective bargaining so we can increase wages finally. I marched with the SEIU folks. It is not right that the CEO of McDonald's makes 2,100 times more than the people slinging cash at McDonald's."
1A,Jay Inslee,"And the next thing I'll do is put people to work in the jobs of the present and the future. Look it, Donald Trump is simply wrong. He says wind turbines cause cancer. We know they cause jobs. And we know that we can put millions of people to work in the clean energy jobs of the future."
1A,Diaz-Balart,"So, Congressman Ryan, President Trump, and you just referred to him, promise of manufacturing jobs were all coming back to places like your home state of Ohio. Can you make that same promise?"
1A,Tim  Ryan,"Yes, I believe you can, but, first, let's say the president came, he said don't sell your house to people in Youngstown, Ohio. And then his administration just in the last two years, we lost $4,000 -- 4,000 jobs at a General Motors facility. That rippled throughout our community. General Motors got a tax cut. General Motors got a bailout. And then they have the audacity to move a new car that they're going to produce to Mexico."
1A,Tim  Ryan,"I've had family members that have to unbolt a machine from the factory floor, put it in a box, and ship it to China. My area where I come from in northeast Ohio, this issue we're talking about here, it's been going on 40 years. This is not a new phenomenon in the United States of America."
1A,Tim  Ryan,"The bottom 60 percent haven't seen a raise since 1980. Meanwhile, the top 1 percent control 90 percent of the wealth. We need an industrial policy saying we're going to dominate building electric vehicles, there's going to be 30 million made in the next 10 years. I want half of them made in the United States. I want to dominate the solar industry..."
1A,Diaz-Balart,Thank you.
1A,Tim Ryan,... and manufacture those here in the United States.
1A,Diaz-Balart,"Senator Warren, are they coming back? Are these jobs coming back?"
1A,Elizabeth Warren,"So we've had an industrial policy in the United States for decades now, and it's basically been let giant corporations do whatever they want to do. Giant corporations have exactly one loyalty, and that is to profits. And if they can save a nickel by moving a job to Mexico or to Asia or to Canada, they're going to do it."
1A,Elizabeth Warren,"So here's what I propose for an industrial policy. Start with a place where there's a real need. There's going to be a worldwide need for green technology, ways to clean up the air, ways to clean up the water. And we can be the ones to provide that. We need to go tenfold in our research and development on green energy going forward."
1A,Elizabeth Warren,"And then we need to say any corporation can come and use that research. They can make all kinds of products from it, but they have to be manufactured right here in the United States of America."
1A,Elizabeth Warren,"And then we have to double down and sell it around the world. There's a $23 trillion market coming for green products. We should be the leaders and the owners, and we should have that 1.2 million manufacturing jobs here in America."
1A,Elizabeth Warren,We can do this.
1A,Lester Holt,"All right. We're going to turn to the issue of health care right now and really try to understand where there may or may not be daylight between you. Many people watching at home have health insurance coverage through their employer. Who here would abolish their private health insurance in favor of a government-run plan? Just a show of hands, start off with."
1A,Lester Holt,"All right, well, Senator Klobuchar, let me put the question to you. You're one of the Democrats who wants to keep private insurance in addition to a government health care plan. Why is an incremental approach in your view better than a sweeping overhaul?"
1A,Amy Klobuchar,"Well, I think it's a bold approach. It's something that Barack Obama wanted to do when we were working on the Affordable Care Act. And that is a public option.         I am just simply concerned about kicking half of America off of their health insurance in four years, which is exactly what this bill says. So let me go on beyond that.         There is a much bigger issue in addition to that, and that is pharmaceuticals. The president literally went on TV, on Fox, and said that people's heads would spin when they see how much he would bring down pharmaceutical prices. Instead, 2,500 drugs have gone up in double-digits since he came into office. Instead, he gave $100 billion in giveaways to the pharma companies."
1A,Amy Klobuchar,"For the rest of us, for the rest of America, that's what we call at home all foam and no beer. We got nothing out of it."
1A,Amy Klobuchar,"And so my proposal is to do something about pharma, to take them on, to allow negotiation under Medicare, to bring in less expensive drugs from other countries. And pharma thinks they own Washington? Well, they don't own me."
1A,Lester Holt,"Your time is up. Thank you. Senator Warren, you signed on to Bernie Sanders' Medicare for all plan. It would put essentially everybody on Medicare and then eliminate private plans that offer similar coverage. Is that the plan or path that you would pursue as president?"
1A,Elizabeth Warren,"So, yes. I'm with Bernie on Medicare for all. And let me tell you why."
1A,Elizabeth Warren,"I spent a big chunk of my life studying why families go broke. And one of the number-one reasons is the cost of health care, medical bills. And that's not just for people who don't have insurance. It's for people who have insurance."
1A,Elizabeth Warren,"Look at the business model of an insurance company. It's to bring in as many dollars as they can in premiums and to pay out as few dollars as possible for your health care. That leaves families with rising premiums, rising copays, and fighting with insurance companies to try to get the health care that their doctors say that they and their children need. Medicare for all solves that problem."
1A,Elizabeth Warren,"And I understand. There are a lot of politicians who say, oh, it's just not possible, we just can't do it, have a lot of political reasons for this. What they're really telling you is they just won't fight for it. Well, health care is a basic human right, and I will fight for basic human rights..."
1A,Lester Holt,"Congressman O'Rourke, when you ran for Senate, you also praised a bill that would replace private insurance. This year, you're saying you're no longer sure. Can you explain why?"
1A,Beto O'Rourke,"My goal is to ensure that every American is well enough to live to their full potential because they have health care. In Laredo, Texas, I met a young man, 27 years old, told me that he'd been to a doctor once in his life. And on that visit, he was told he had diabetes, he was told he had glaucoma, and he was told untreated -- because he doesn't have health care -- he'll be dead before the age of 40."
1A,Beto O'Rourke,"So getting to guaranteed, high-quality, universal health care as quickly and surely as possible has to be our goal. The ability to afford your prescriptions and go to a primary care provider, to be -- the ability to see a mental health care provider. In Texas, the single largest provider of mental health care services is the county jail system today.         And health care also has to mean that every woman can make her own decisions about her own body and has access to the care that makes that possible."
1A,Beto O'Rourke,"Our plan says that if you're uninsured, we enroll you in Medicare. If you're insufficiently insured, you can't afford your premiums, we enroll you in Medicare. But if you're a member of a union that negotiated for a health care plan that you like because it works for you and your family, you're able to keep it."
1A,Lester Holt,Your time is up.
1A,Beto O'Rourke,We preserve choice by making sure everybody has care.
1A,Lester Holt,"Your time is up, Congressman, but I do want to ask a follow-up on this. Just to be very clear -- I'll give you 10 seconds -- would you replace private insurance?"
1A,Beto O'Rourke,No. I think the choice is fundamental to our ability to get everybody cared for...
1A,Bill De Blasio,"Wait, wait, wait. Congressman O'Rourke, Congressman O'Rourke, private insurance is not working for tens of millions of Americans when you talk about the co-pays, the deductibles, the premiums, the out of pocket expenses. It's not working. How can you defend a system that's not working?"
1A,Beto O'Rourke,"That's right. So for those for whom it's not working, they can choose Medicare. For the..."
1A,Bill De Blasio,Congressman...
1A,Beto O'Rourke,... who I listen to...
1A,Bill De Blasio,... you've got to start by acknowledging the system is not working for people.
1A,Beto O'Rourke,... they're able to keep them.
1A,Bill De Blasio,Why are you defending private insurance to begin with?
1A,John Delaney,"... 100 million Americans say they like their private health insurance, by the way. It should be noted that 100 million Americans -- I mean, I think we should be the party that keeps what's working and fixes what's broken."
1A,John Delaney,"I mean, doesn't that make sense? I mean, we should give everyone in this country health care as a basic human right for free, full stop. But we should also give them the option to buy private insurance. Why do we have to stand for taking away something from people?         And also it's bad policy. If you go to every hospital in this country and you ask them one question, which is how would it have been for you last year if every one of your bills were paid at the Medicare rate? Every single hospital administrator said they would close."
1A,John Delaney,"And the Medicare for all bill requires payments to stay at current Medicare rates. So to some extent, we're supporting a bill that will have every hospital closing. I mean, my dad was a union electrician, right?         I actually grew up in a working-class family. He loved the health care that the IBEW gave him. And I just always think about my dad in anything I would do from a policy perspective. He'd look at me and he'd say, good job, John, for getting health care for every American. But why are you taking my health care away?"
1A,Lester Holt,"I've let this -- I've let this play out a little bit because I'm fascinated to hear the daylight between you. Congresswoman Gabbard, why don't you weigh in here?"
1A,Tulsi Gabbard,"I think we're talking about this in the wrong way. You're talking about one bill over another bill. Really, what we're talking about is our objective, making sure that every single sick American in this country is able to get the health care that they need."
1A,Tulsi Gabbard,"I believe Medicare for all is the way to do that. I also think that employers will recognize how much money will be saved by supporting a Medicare for all program, a program that will reduce the administrative costs, reduce the bureaucratic costs, and make sure that everyone gets that quality health care that they need."
1A,Tulsi Gabbard,I also think that...
1A,Lester Holt,Senator...
1A,Tulsi Gabbard,"... if you -- if you look at other countries in the world who have universal health care, every one of them has some form of a role of private insurance, so I think that's what we've got to look at, taking the best of these ideas, but making sure unequivocally that no sick American goes without getting the care that they need, regardless of how much or little money they have in their pocket."
1A,Lester Holt,"Congresswoman, Congresswoman, thanks."
1A,Lester Holt,"Let me turn to Senator Booker on this. Senator Booker, explain to me where you are. This is hugely important to people. So tell us where you are."
1A,Cory Booker,"I absolutely will. First of all, we're talking about this as a health care issue, but in communities like mine, low-income communities, it's an education issue, because kids who don't have health care are not going to succeed in school. It is an issue for jobs and employment, because people who do not have good health care do not succeed at work. It's even a retirement issue, because in my community, African-Americans have a lower life expectancy because of poorer health care."
1A,Cory Booker,"And so where I stand is very clear. Health care -- it's not just a human right, it should be an American right. And I believe the best way to get there is Medicare for all.         But I have an urgency about this. When I am president of the United States, I'm not going to wait. We have to do the things immediately that are going to provide better care. And on this debate, I'm sorry. There are too many people profiteering off of the pain of people in America, from pharmaceutical companies to insurers."
1A,Cory Booker,"Literally, the overhead for insurances that they charge is 15 percent, while Medicare's overhead is only at 2 percent. We can do this better. And every single day, I will be fighting to give people more access and more affordable costs until we get to my goal..."
1A,Lester Holt,"Your time is up, Senator."
1A,Cory Booker,... which is every American having health care.
1A,Lester Holt,"Time is up, Senator. I want to..."
1A,Lester Holt,"I want to move back, if I can, to Congresswoman Gabbard..."
1A,Elizabeth Warren,"... point, though, and that is that the insurance companies last year alone sucked $23 billion in profits out of the health care system, $23 billion. And that doesn't count the money that was paid to executives, the money that was spent lobbying Washington."
1A,Elizabeth Warren,"We have a giant industry that wants our health care system to stay the way it is, because it's not working for families, but it's sure as heck working for them."
1A,Elizabeth Warren,It's time for us to make families come first.
1A,Jay Inslee,It should not be an option in the United States of America for any insurance company to deny a woman coverage for their exercise of their right of choice.
1A,Jay Inslee,"And I am the only candidate here who has passed a law protecting a woman's right of reproductive health in health insurance, and I'm the only candidate who has passed a public option. And I respect everybody's goals and plans here, but we do have one candidate that's actually advanced the ball. And we've got to have access for everyone. I've done it as a public option."
1A,Lester Holt,Your time...
1A,Lester Holt,"Senator Klobuchar, I want to get you..."
1A,Unknown,That's a  claim.
1A,Lester Holt,I am fascinated by this. Senator -- Senator Klobuchar?
1A,Amy Klobuchar,"I just want to say, there's three women up here that have fought pretty hard for a woman's right to choose. I'll start with that."
1A,Amy Klobuchar,"And then I just want to make very clear, I think we share the goal of universal health care. And the idea I put out there, the public option, which the governor was just talking about, this idea is that you use Medicare or Medicaid without any insurance companies involved, you can do it either way. And the estimates are 13 million people would see a reduction in their premiums, 12 more million people would get covered."
1A,Amy Klobuchar,So I think it is a beginning and the way you start and the way you move to universal health care.
1A,Lester Holt,"Secretary Castro, this one is for you. All of you on stage support a woman's right to an abortion. You all support some version of a government health care option. Would your plan cover abortion, Mr. Secretary?"
1A,Julián Castro,"Yes, it would. I don't believe only in reproductive freedom, I believe in reproductive justice."
1A,Julián Castro,"And, you know, what that means is that just because a woman -- or let's also not forget someone in the trans community, a trans female, is poor, doesn't mean they shouldn't have the right to exercise that right to choose. And so I absolutely would cover the right to have an abortion.         More than that, everybody in this crowd and watching at home knows that in our country today, a person's right to choose is under assault in places like Missouri, in Alabama, in Georgia. I would appoint judges to the federal bench that understand the precedent of Roe v. Wade and will respect it and in addition to that, make sure that we fight hard as we transition our health care system to one where everybody can get and exercise that right."
1A,Lester Holt,"Senator Warren, would you put limits on -- any limits on abortion?"
1A,Elizabeth Warren,"I would make certain that every woman has access to the full range of reproductive health care services, and that includes birth control, it includes abortion, it includes everything for a woman."
1A,Elizabeth Warren,"And I want to add on that. It's not enough for us to expect the courts to protect us. Forty-seven years ago, Roe v. Wade was decided, and we've all looked to the courts all that time, as state after state has undermined Roe, has put in exceptions, has come right up to the edge of taking away protections..."
1A,Elizabeth Warren,We now have an America where most people support Roe v. Wade. We need to make that a federal law.
1A,Lester Holt,"Senator, thank you. Jose?"
1A,Diaz-Balart,"Lester, thank you. Senator Booker, I want to kind of come back on a discussion we were having about health and the opioid crisis. You represent a state where 14 of the 20 largest pharmaceutical companies are based. Should pharmaceutical companies that manufacture these drugs be held criminally liable for what they do?"
1A,Cory Booker,"They should absolutely be held criminally liable, because they are liable and responsible. This is one of the reasons why well before I was running for president I said I would not take contributions from pharma companies, not take contributions from corporate PACs, or pharma executives, because they are part of this problem."
1A,Cory Booker,"And this opioid addiction in our country, we in cities like mine have been seeing how we've tried to arrest our way out of addiction for too long. It is time that we have a national urgency to deal with this problem and make the solutions that are working to actually be the law of our land and make the pharmaceutical companies that are responsible help to pay for that."
1A,Diaz-Balart,"Congressman O'Rourke, how would you deal with it?"
1A,Beto O'Rourke,"Tonight in this country, you have 2.3 million of our fellow Americans behind bars. It's the largest prison population on the face of the planet. Many are there for nonviolent drug crimes, including possession of marijuana, at a time that more than half the states have legalized it or decriminalized it."
1A,Beto O'Rourke,"And yet despite what Purdue Pharma has done, their connection to the opioid crisis and the overdose deaths that we're seeing throughout this country, they've been able to act with complete impunity and pay no consequences, not a single night in jail."
1A,Beto O'Rourke,"Unless there's accountability and justice, this crisis will continue. In my administration, we will hold them to account. We will make sure that they pay a price, and we will help those who've been victims of this malfeasance in this country get them treatment and long-term care."
1A,Lester Holt,I know immigration is on a lot of your minds here. And I want to talk about it. We're going to talk about it in a moment. We need to take a break. We'll be back with more from Miami after this.
1A,Diaz-Balart,"We want to turn to an issue that has been in the news, especially this week. There are undocumented children being held alone in detention, even as close as Homestead, Florida, right here, less than 30 miles from where we are tonight. Fathers and mothers and children are dying while trying to enter the United States of America."
1A,Diaz-Balart,"We saw that image today that broke our hearts, and they had names. Oscar Martinez and his 23-month-old daughter, Valeria, died trying to cross the river to ask for asylum in this country. Last month, more than 130,000 migrants were apprehended at the southern border."
1A,Diaz-Balart,"Secretary Castro, if you were president today, hoy, what would you specifically do?"
1A,Julián Castro,"Thank you very much, Jose. I'm very proud that in April I became the first candidate to put forward a comprehensive immigration plan. And we saw those images, watching that image of Oscar and his daughter, Valeria, is heartbreaking. It should also piss us all off."
1A,Julián Castro,"If I were president today -- and it should spur us to action. If I were president today, I would sign an executive order that would get rid of Trump's zero-tolerance policy, the remain in Mexico policy, and the metering policy -- this metering policy is basically what prompted Oscar and Valeria to make that risky swim across the river. They had been playing games with people who are coming and trying to seek asylum at our ports of entry. Oscar and Valeria went to a port of entry, and then they were denied the ability to make an asylum claim, so they got frustrated and they tried to cross the river, and they died because of that."
1A,Diaz-Balart,"On day one. Sorry, I'm just going to ask..."
1A,Julián Castro,"On day one, I would do that executive order that would address metering. And then I would follow that up in my first 100 days with immigration reform that would honor asylum claims, that would put undocumented immigrants, as long as they haven't committed a serious crime, on a pathway to citizenship."
1A,Julián Castro,"And then we'd get to the root cause of the issue, which is we need a Marshall Plan for Honduras and Guatemala and El Salvador so that people can find safety and opportunity at home instead of coming to the United States to seek it."
1A,Diaz-Balart,"Senator Booker, what would you do on day one? And this is a situation that the next president will inherit."
1A,Cory Booker,"Yes. On day one, I will make sure that, number one, we end the ICE policies and the Customs and Border Policies that are violating the human rights. When people come to this country, they do not leave their human rights at the border."
1A,Cory Booker,"Number two... I will make sure that we reinstate DACA, that we reinstate pathways to citizenship for DACA recipients, and to make sure that people that are here on temporary protective status can stay and remain here."
1A,Cory Booker,"And then, finally, we need to make sure that we address the issues that made Oscar and Valeria come in the first place, by making major investments in the Northern Triangle, not like this president is doing, by ripping away the resources we need to actually solve this problem. We cannot surrender our values and think that we're going to get border security. We actually will lose security and our values. We must fight for both."
1A,Julián Castro,"... if I might -- if I might, very briefly, and this is an important point. You know, my plan -- and I'm glad to see that Senator Booker, Senator Warren, and Governor Inslee agree with me on this. My plan also includes getting rid of Section 1325 of the Immigration and Nationality Act, to go back to the way we used to treat this when somebody comes across the border, not to criminalize desperation, to treat that as a civil violation."
1A,Julián Castro,"(APPLAUSE)         And here's why it's important. We see all of this horrendous family separation. They use that law, Section 1325, to justify under the law separating little children from their families."
1A,Diaz-Balart,"Governor Inslee, 45 seconds."
1A,Guthrie,"Mayor De Blasio. Mayor, your closing statement."
1A,Julián Castro,And so I want to challenge every single candidate on this stage to support the repeal of Section 1325.
1A,Diaz-Balart,Thirty seconds.
1A,Cory Booker,"As my friend here said, I agree with him on that issue, but folks should understand that the separation of children from families doesn't just go on at our border. It happens in our communities, as ICE are ripping away parents from their American children, spouses and the like, and are creating fear in cities all across this country where parents are afraid to even drop their kids off to school or go to work. We must end those policies, as well."
1A,Bill De Blasio,We have to change the discussion about in this country...
1A,Diaz-Balart,Mayor?
1A,Bill De Blasio,"... because look at the bottom line here. Those tragic -- that tragic photo of those -- that parent, that child -- and I'm saying this as a father. Every American should feel that in their heart, every American should say that is not America, those are not our values."
1A,Bill De Blasio,"But we have to get under the skin of why we have this crisis in our system, because we're not being honest about the division that's been fomented in this country. The way that American citizens have been told that immigrants somehow created their misery and their pain and their challenges, for all the American citizens out there who feel you're falling behind or feel the American dream is not working for you, the immigrants didn't do that to you."
