character,text
BUTTIGIEG,"Look, the president has left the Congress with no choice. And this is not just about holding the president accountable, for not just the things emerging in these investigations, but actions that he has confessed to on television. It’s also about the presidency itself, because a president 10 years or 100 years from now will look back at this moment and draw the conclusion either that no one is above the law or that a president can get away with anything."
BUTTIGIEG,"But everyone on this stage, by definition, is competing to be a president for after the Trump presidency. Remember, one way or the other, this presidency is going to come to an end. I want you to picture what it's going to be like, what it's actually going to feel like in this country the first day the sun comes up after Donald Trump has been president."
BUTTIGIEG,"It starts out feeling like a happy thought; this particular brand of chaos and corruption will be over. But really think about where we'll be vulnerable, even more torn apart by politics than we are right now. And these big issues from the economy to climate change have not taken a vacation during the impeachment process."
BUTTIGIEG,I'm running to be the president who can turn the page and unify a dangerously polarized country while tackling those issues that are going to be just as urgent then as they are now.
COOPER," Thank you, Mr. Mayor. Congresswoman Gabbard, you're the only sitting House member on this stage. How do you respond?"
GABBARD," If impeachment is driven by these hyperpartisan interests, it will only further divide an alrey terribly divided country. Unfortunately, this is what we're alrey seen play out as calls for impeachment really began shortly after Trump won his election. And as unhappy as that may make us as Democrats, he won that election in 2016."
GABBARD,"The serious issues that have been raised around this phone call that he h with the president of Ukraine and many other things that transpired around that are what caused me to support the inquiry in the House. And I think that it should continue to play its course out, to gather all the information, provide that to the American people, recognizing that that is the only way forward."
GABBARD,"If the House votes to impeach, the Senate does not vote to remove Donald Trump, he walks out and he feels exonerated, further deepening the divides in this country that we cannot afford."
COOPER," Thank you, Congresswoman."
COOPER,"Mr. Steyer, you've been calling for impeachment for two years. Does there need to be bipartisan support?"
STEYER," Well, Anderson, this is my first time on this stage, so I just want to start by reminding everybody that every candidate here is more decent, more coherent, and more patriotic than the criminal in the White House."
STEYER,(APPLAUSE)
STEYER,"But I also want to point out that Anderson's right. Two years ago, I started the Need to Impeach movement, because I knew there was something desperately wrong at 1600 Pennsylvania Avenue, that we did have the most corrupt president in the country, and that only the voice and the will of the American people would drag Washington to see it as a matter of right and wrong, not of political expediency. So, in fact, impeaching and removing this president is something that the American people are demanding. They're the voice that counts, and that's who I went to, the American people."
COOPER," Mr. Yang, do you think there's alrey enough evidence out there to impeach the president? Please respond."
YANG," I support impeachment, but we shouldn't have any illusions that impeaching Donald Trump will, one, be successful or, two, erase the problems that got him elected in 2016. We're standing in the great state of Ohio, the ultimate purple state, the ultimate bellwether state."
YANG,"Why did Donald Trump win your state by eight points? Because we got rid of 300,000 manufacturing jobs in your towns. And we are not stopping there. How many of you have noticed stores closing where you work and live here in Ohio? Raise your hands."
YANG,"It's not just you. Amazon alone is closing 30 percent of America's stores and malls, soaking up $20 billion in business while paying zero in taxes. These are the problems that got Donald Trump elected, the fourth industrial revolution. And that is going to accelerate and grow more serious regardless of who is in the Oval Office."
YANG,"The fact is, Donald Trump, when we're talking about him, we are losing. We need to present a new vision, and that even includes talking about impeaching Donald Trump."
COOPER," Congressman O'Rourke, on impeachment, please respond."
O'ROURKE," You know, I think about everyone who's ever served this country in uniform. We have two examples here on this stage tonight in Mayor Buttigieg and Congresswoman Gabbard, those who have willingly sacrificed their lives to defend this country and our Constitution. We are the inheritors of their service and their sacrifice."
O'ROURKE,"And we have a responsibility to be fearless in the face of this president's criminality and his lawlessness. The fact that as a candidate for the highest office in the land, he invited the participation, the invasion of a foreign power in our democracy. As president, he lied to investigators, obstructed justice, fired James Comey, he of the FBI, tried to fire Mueller, he of the investigation, then invited President Zelensky to involve himself in our politics, as well as China, in exchange for favorable tre terms in an upcoming tre deal."
COOPER," Thank you, Congressman."
O'ROURKE," If we do not hold him to account, if there is not justice, not only have we failed this moment, our Constitution and our country, but we have failed everyone who has sacrificed and laid their lives down on the line."
COOPER, Thank you.
O'ROURKE, And we cannot do that.
COOPER," Thank you, Congressman. The impeachment inquiry is centered on President Trump's attempts to get political dirt from Ukraine on Vice President Biden and his son, Hunter. Mr. Vice President, President Trump has falsely accused your son of doing something wrong while serving on a company board in Ukraine. I want to point out there's no evidence of wrongdoing by either one of you."
COOPER,"Having said that, on Sunday, you announced that if you're president, no one in your family or associated with you will be involved in any foreign businesses. My question is, if it's not okay for a president's family to be involved in foreign businesses, why was it okay for your son when you were vice president? Vice President Biden?"
BIDEN," Look, my son did nothing wrong. I did nothing wrong. I carried out the policy of the United States government in rooting out corruption in Ukraine. And that's what we should be focusing on."
BIDEN,And what I wanted to make a point about — and my son's statement speaks for itself. He spoke about it today. My son's statement speaks for itself. What I think is important is we focus on why it's so important to remove this man from office.
BIDEN,"On the — look, the fact that George Washington worried on the first time he spoke after being elected president that what we h to worry about is foreign interference in our elections, it was the greatest threat to America. This president on three occasions — three occasions — has invited foreign governments and hes of government to get engaged in trying to alter our elections. The fact is that it is outrageous."
BIDEN,"Rudy Giuliani, the president, and his thugs have alrey proven that they, in fact, are flat lying. What we have to do now is focus on Donald Trump. He doesn't want me to be the candidate. He's going after me because he knows, if I get the nomination, I will beat him like a drum."
(UNKNOWN), Anderson — Anderson …
COOPER," Hold on, sorry, just to follow up. Mr. Vice President, as you said, your son, Hunter, today gave an interview, mitted that he me a mistake and showed poor judgement by serving on that board in Ukraine. Did you make a mistake by letting him? You were the point person on Ukraine at the time. You can answer."
BIDEN," Look, my son's statement speaks for itself. I did my job. I never discussed a single thing with my son about anything having do with Ukraine. No one has indicated I have. We've always kept everything separate. Even when my son was the attorney general of the state of Delaware, we never discussed anything, so there would be no potential conflict."
BIDEN,My son me a judgment. I'm proud of the judgement he me. I'm proud of what he h to say. And let's focus on this. The fact of the matter is that this is about Trump's corruption. That's what we should be focusing on.
COOPER," Senator Sanders, your response?"
SANDERS," Let me make a point. I think that it is absolutely imperative we go forward with impeachment. I hope that he is impeached. But I think what would be a disaster, if the American people believe that all we were doing is taking on Trump and we're forgetting that 87 million Americans are uninsured or underinsured. We're forgetting about the existential threat of climate change. We are forgetting about the fact that half of our people are living paycheck to paycheck. So what we have got to do is end this corruption, set a precedent for future history that says presidents like this cannot behave this way."
SANDERS,But we cannot and must not turn our backs on the pain of the working class of this country.
COOPER," Senator Sanders, thank you. Mark?"
LACEY, We want to move now to the economy.
(UNKNOWN)," May I get in, please?"
LACEY, You've proposed some sweeping plans...
LACEY,(CROSSTALK)
LACEY, ... free public college...
LACEY,(CROSSTALK)
(UNKNOWN), It is wrong to move on.
LACEY, Thank you. We're going to -- Senator Warren.
(UNKNOWN), It is wrong to move on.
LACEY," Senator Warren, we've proposed -- you've proposed some sweeping plans, free public college, free universal childcare, eliminating most Americans' college debt. And you've said how you're going to pay for those plans. But you have not specified how you're going to pay for the most expensive plan, Medicare for all. Will you raise taxes on the middle class to pay for it, yes or no?"
WARREN," So I have me clear what my principles are here, and that is costs will go up for the wealthy and for big corporations, and for hard-working middle-class families, costs will go down. You know, the way I see this is, I have been out all around this country. I've done 140 town halls now, been to 27 states and Puerto Rico. Shoot, I've done 70,000 selfies, which must be the new measure of democracy."
WARREN,"And this gives people a chance to come up and talk to me directly. So I have talked with the family, the mom and d whose daughter's been diagnosed with cancer. I have talked to the young woman whose mother has just been diagnosed with diabetes. I've talked to the young man who has MS."
WARREN,"And here's the thing about all of them. They all h great health insurance right at the beginning. But then they found out when they really needed it, when the costs went up, that the insurance company pulled the rug out from underneath them and they were left with nothing."
WARREN,"Look, the way I see this, it is hard enough to get a diagnosis that your child has cancer, to think about the changes in your family if your mom has diabetes, or what it means for your life going forward if you've been diagnosed with MS. But what you shouldn't have to worry about is how you're going to pay for your health care after that."
LACEY," Senator Warren, to be clear, Senator Sanders acknowledges he's going to raise taxes on the middle class to pay for Medicare for all. You've endorsed his plan. Should you acknowledge it, too?"
WARREN," So the way I see this, it is about what kinds of costs middle-class families are going to face. So let me be clear on this. Costs will go up for the wealthy. They will go up for big corporations. And for middle-class families, they will go down. I will not sign a bill into law that does not lower costs for middle-class families."
LACEY," Mayor Buttigieg, you say Senator Warren has been, quote, ""evasive"" about how she's going to pay for Medicare for all. What's your response?"
BUTTIGIEG," Well, we heard it tonight, a yes or no question that didn't get a yes or no answer. Look, this is why people here in the Midwest are so frustrated with Washington in general and Capitol Hill in particular. Your signature, Senator, is to have a plan for everything. Except this."
BUTTIGIEG,"No plan has been laid out to explain how a multi-trillion-dollar hole in this Medicare for all plan that Senator Warren is putting forward is supposed to get filled in. And the thing is, we really can deliver health care for every American and move forward with the boldest, biggest transformation since the inception of Medicare itself."
BUTTIGIEG,"But the way to do it without a giant multi-trillion-dollar hole and without having to avoid a yes-or-no question is Medicare for all who want it. We take a version of Medicare. We let you access it if you want to. And if you prefer to stay on your private plan, you can do that, too. That is what most Americans want, Medicare for all who want it, trusting you to make the right decision for your health care and for your family. And it can be delivered without an increase on the middle-class taxes."
LACEY," Thank you, Mayor. Senator, your response?"
WARREN," So, let's be clear. Whenever someone hears the term Medicare for all who want it, understand what that really means. It's Medicare for all who can afford it. And that's the problem we've got."
WARREN,"Medicare for all is the gold standard. It is the way we get health care coverage for every single American, including the family whose child has been diagnosed with cancer, including the person who's just gotten an MS diagnosis. That's how we make sure that everyone gets health care."
WARREN,"We can pay for this. I've laid out the basic principles. Costs are going to go up for the wealthy. They're going to go up for big corporations. They will not go up for middle-class families. And I will not sign a bill into law that raises their costs, because costs are what people care about."
WARREN,"I've been studying this, you know, for the biggest part of my life..."
LACEY," Thank you, Senator. Can the -- can the..."
WARREN, ... why people go bankrupt.
LACEY, ... mayor respond?
WARREN, Sure.
BUTTIGIEG," I don't think the American people are wrong when they say that what they want is a choice. And the choice of Medicare for all who want it, which is affordable for everyone, because we make sure that the subsidies are in place, allows you to get that health care. It's just better than Medicare for all whether you want it or not."
BUTTIGIEG,"And I don't understand why you believe the only way to deliver affordable coverage to everybody is to obliterate private plans, kicking 150 million Americans off of their insurance in four short years, when we could achieve that same big, bold goal -- and once again, we have a president -- we're competing to be president for the day after Trump. Our country will be horrifyingly polarized, even more than now, after everything we've been through, after everything we are about to go through, this country will be even more divided. Why unnecessarily divide this country over health care when there's a better way to deliver coverage for all?"
LACEY," Thank you. Thank you, Mayor. Senator Sanders?"
WARREN, I'd like to be able to respond...
SANDERS," Well, as somebody who wrote the damn bill, as I said, let's be clear. Under the Medicare for all bill that I wrote, premiums are gone. Co-payments are gone. Deductibles are gone. All out-of-pocket expenses are gone. We're going to do better than the Canians do, and that is what they have managed to do."
SANDERS,"At the end of the day, the overwhelming majority of people will save money on their health care bills. But I do think it is appropriate to acknowledge that taxes will go up. They're going to go up significantly for the wealthy. And for virtually everybody, the tax increase they pay will be substantially less -- substantially less than what they were paying for premiums and out-of-pocket expansions."
BUTTIGIEG," Well, at least that's a straightforward answer, but there's a better way."
LACEY," Senator Warren, will you acknowledge what the senator just said about taxes going up?"
WARREN," So my view on this, and what I have committed to, is costs will go down for hardworking, middle-class families. I will not embrace a plan like Medicare for all who can afford it that will leave behind millions of people who cannot. And I will not embrace a plan that says people have great insurance right up until you get the diagnosis and the insurance company says, ""Sorry, we're not covering your expensive cancer treatments, we're not covering your expensive treatments for MS."""
LACEY," Thank you, Senator. Senator Klobuchar..."
WARREN," ""We're not covering what you need."""
KLOBUCHAR," At least Bernie's being honest here and saying how he's going to pay for this and that taxes are going to go up. And I'm sorry, Elizabeth, but you have not said that, and I think we owe it to the American people to tell them where we're going to send the invoice."
KLOBUCHAR,I believe the best and boldest idea here is to not trash Obamacare but to do exactly what Barack Obama wanted to do from the beginning and that’s have a public option that would bring down the cost of the premium and expand the number of people covered and take on the pharmaceutical companies. That is what we should be doing inste of kicking 149 million people off their insurance in our years.
KLOBUCHAR,"And I’m tired of hearing, whenever I say these things, oh, it’s Republican talking points. You are making Republican talking points right now in this room by coming out for a plan that’s going to do that. I think there is a better way that is bold, that will cover more people, and it’s the one we should get behind."
LACEY, Senator Warren?
WARREN," You know, I didn’t spend most of my time in Washington. I spent most of my time studying one basic question, and that is why hardworking people go broke. And one of the principal reasons for that is the cost of health care."
WARREN,"And back when I was studying it, two out of every three families that ended up in bankruptcy after a serious medical problem h health insurance. The problem we've got right now is the overall cost of health care. And, look, you can try to spin this any way you want. I've spent my entire life on working on how America's middle class has been hollowed out and how we fight back. I've put out nearly 50 plans on how we can fight back and how we can rebuild an America that works. And a part is that is we have got to stop..."
LACEY," Thank you, Senator."
WARREN, ... Americans from going bankrupt over health care costs.
LACEY," Senator Klobuchar, do you want to respond?"
KLOBUCHAR," Yes, I do. And I appreciate Elizabeth’s work. But, again, the difference between a plan and a pipe dream is something that you can actually get done. And we can get this public option done. And we can take on the pharmaceutical companies and bring down the prices."
KLOBUCHAR,"But what really bothers me about this discussion, which we've h so many times, is that we don't talk about the things that I'm hearing about from regular Americans. That is long-term care. We are seeing -- I once called it a silver tsunami. The aging -- and then someone told me that was too negative, so I call it the silver surge -- the aging of the population."
KLOBUCHAR,"We need to make easier to get long-term care insurance and strengthen Medicaid. In this state, the state of Ohio, that has been hit by the opioid epidemic, we need to take on those pharma companies and make them pay for the dictions that they have caused and the people that they have killed."
LACEY," Thank you. Thank you, Senator."
KLOBUCHAR, Those are the issues that I hear about when I'm in Toledo.
LACEY," Thank you, Senator. Vice President Biden..."
LACEY,(CROSSTALK)
HARRIS, I'd like to be...
LACEY," Let me -- let me bring you in here, Vice President, for your response. Are Senators Warren and Sanders being realistic about the difficulty of enacting their plans?"
BIDEN," First of all, the plan we're hearing discussed is the Biden plan, the one I built forward. Build on Obamacare, d a public option. We can go into that. I can talk about that if you'd like."
BIDEN,"But here's the deal. On the single most important thing facing the American public, I think it's awfully important to be straightforward with them. The plan is going to cost at least $30 trillion over 10 years. That is more on a yearly basis than the entire federal budget."
BIDEN,"And we talk about how we're going to pay for it. The study recently came out showing that, in fact, it will reduce costs. But for people making between $50,000 and $75,000 a year, their taxes are going to go up about $5,000, because the fact is they'll pay more in new taxes, 7.4 percent plus, or 5 percent, plus a 4 percent income tax. If you're making -- if a fireman and a schoolteacher are making $100,000 a year, their taxes are going to go up about $10,000. That is more than they will possibly save on this health care plan. We have a plan put forward that will work."
LACEY," Senator Sanders, do you want to respond to -- we were coming to you."
SANDERS," I get a little bit tired -- I must say -- of people defending a system which is dysfunctional, which is cruel, 87 million uninsured, 30,000 people dying every single year, 500,000 people going bankrupt for one reason, they came down with cancer."
SANDERS,"I will tell you what the issue is here. The issue is whether the Democratic Party has the guts to stand up to the health care industry, which me $100 billion in profit, whether we have the guts to stand up to the corrupt, price-fixing pharmaceutical industry, which is charging us the highest prices in the world for prescription drugs."
SANDERS,(APPLAUSE)
SANDERS,"And if we don’t have the guts to do that, if all we can do is take their money, we should be ashamed of ourselves."
LACEY," Thank you, Senator Sanders."
BIDEN, We can stand up to them.
LACEY," Senator Harris, your response?"
HARRIS," This is the sixth debate we have h in this presidential cycle and not nearly one word, with all of these discussions about health care, on women's access to reproductive health care, which is under full-on attack in America today."
HARRIS,(APPLAUSE)
HARRIS,"And it's outrageous. There are states that have passed laws that will virtually prevent women from having access to reproductive health care. And it is not an exaggeration to say women will die, poor women, women of color will die, because these Republican legislatures in these various states who are out of touch with America are telling women what to do with our bodies."
HARRIS,Women are the majority of the population in this country. People need to keep their hands off of women's bodies and let women make the decisions about their own lives.
HARRIS,(APPLAUSE)
LACEY," Thank you, Senator."
HARRIS, And let's talk about that.
LACEY," Thank you, Senator."
HARRIS, That is a significant health care issue in America today.
LACEY," Thank you, Senator."
BURNETT," I want to turn now to jobs. According to a recent study, about a quarter of American jobs could be lost to automation in just the next 10 years. Ohio is one of the states likely to be hardest hit."
BURNETT,"Senator Sanders, you say your federal jobs guarantee is part of the answer to the threat from automation, but tens of millions of Americans could end up losing their jobs. Are you promising that you will have a job for every single one of those Americans?"
SANDERS," Damn right we will. And I'll tell you why. If you look at what goes on in America today, we have an infrastructure which is collapsing. We could put 15 million people to work rebuilding our ros, our bridges, our water systems, our wastewater plants, airports, et cetera."
SANDERS,Furthermore -- and I hope we will discuss it at length tonight -- this planet faces the greatest threat in its history from climate change. And the Green New Deal that I have vocated will create up to 20 million jobs as we move away from fossil fuel to energy efficiency and sustainable energy.
SANDERS,"We need workers to do childcare. We need workers, great teachers to come in to school systems which don't have the teachers that we need right now. We need more doctors. We need more dentists. We need more carpenters. We need more sheet metal workers. And when we talk about making public colleges and universities tuition fee and cancelling student debt, we're going to give those people the opportunity to get those good jobs."
BURNETT," Senator Sanders, thank you. Mr. Yang, your main solution to job loss from automation is a universal basic income. Why is giving people $1,000 a month better than Sanders' plan to guaranteeing them a job?"
YANG," I am for the spirit of a federal jobs guarantee, but you have to look at how it would actually materialize in practice. What are the jobs? Who manages you? What if you don't like your job? What if you're not good at your job?"
YANG,"The fact is, most Americans do not want to work for the federal government. And saying that that is the vision of the economy of the 21st century to me is not a vision that most Americans would embrace."
YANG,"Also, Senator Sanders, the description of a federal jobs guarantee does not take into account the work of people like my wife, who's at home with our two boys, one of whom is autistic. We have a freedom dividend of $1,000 a month. It actually recognizes the work that is happening in our families and our communities. It helps all Americans transition."
YANG,"Because the fact is -- and you know this in Ohio -- if you rely upon the federal government to target its resources, you wind up with failed retraining programs and jobs that no one wants. When we put the money into our hands, we can build a trickle-up economy from our people, our families, and our communities up. It will enable us to do the kind of work that we want to do. This is the sort of positive vision in response to the fourth industrial revolution that we have to embrace as a party."
BURNETT," Senator Booker, a federal jobs guarantee or $1,000 a month, are those the best solutions there? Please respond."
BOOKER," Well, first of all, I'm happy to get in finally. And I just want to say, as a great -- as a great New Jersian, Yogi Berra, said, ""I am having deja vu all over again."""
BOOKER,"I'm having deja vu all over again, first of all, because I saw this play in 2016's election. We are literally using Donald Trump's lies. And the second issue we cover on this stage is elevating a lie and attacking a statesman. That was so offensive. He should not have to defend ourselves. And the only person sitting at home that was enjoying that was Donald Trump seeing that we're distracting from his malfeasance and selling out of his office."
BOOKER,(APPLAUSE)
BOOKER,"And I'm having deja vu all over again. And I'm having deja vu all over again because we have another health care debate, and we're not talking about the clear and existential threat in America that we're in a state that has h two Planned Parenthoods close. We are seeing all over this country women's reproductive rights under attack. And God bless Kamala, but you know what? Women should not be the only ones taking up this cause and this fight."
BOOKER,(APPLAUSE)
BOOKER,And men...
BURNETT, Thank you.
BOOKER, It is not just because women are our daughters and our friends and our wives. It's because women are people. And people deserve to control their own bodies.
BURNETT," Senator, thank you. We are going to get to that issue later on tonight."
BURNETT,"Senator Warren, you wrote that blaming job loss on automation is, quote, ""a good story, except it's not really true."" So should workers here in Ohio not be worried about losing their jobs to automation?"
WARREN," So the data show that we have h a lot of problems with losing jobs, but the principal reason has been b tre policy. The principal reason has been a bunch of corporations, giant multinational corporations who've been calling the shots on tre, giant multinational corporations that have no loyalty to America. They have no loyalty to American workers. They have no loyalty to American consumers. They have no loyalty to American communities. They are loyal only to their own bottom line."
WARREN,"I have a plan to fix that, and it's accountable capitalism. It says, you want to have one of the giant corporations in America? Then, by golly, 40 percent of your board of directors should be elected by your employees. That will make a difference when a corporation decides, gee, we could save a nickel by moving a job to Mexico, when there are people on the board in the boardroom saying, no, do you know what that does to our company, do you know what that does to our community, to what it does to our workers?"
WARREN,We also need to make it easier to join a union and give unions more power when they negotiate.
WARREN,(APPLAUSE)
WARREN,"We need to restructure strength in this economy, and that’s where it starts."
BURNETT," Thank you, Senator."
BURNETT,"Secretary Castro, what's your response to Senator Warren's claim that automation is a good story, except it's not really true?"
CASTRO," Well, I think -- I think what folks have said is that that is only part of the issue, right? You know, I believe that we need to dress communities that are being impacted by automation. I'm even willing to pilot something like UBI and to see how that would work."
CASTRO,"But I think we need to focus on making sure that we spark job opportunity for people across this country. As I mentioned earlier, here in Ohio, in the latest job data, Ohio is losing jobs under Donald Trump. He has broken his promises to Ohio and the industrial Midwest. I would invest in infrastructure to put people back to work. I would invest in a Green New Deal to unleash millions of new jobs in a clean energy economy."
CASTRO,"I was in Newton, Iowa, a few weeks ago and I visited a place called TPI. Newton, Iowa, h a Maytag washing machine manufacturing facility, and then it closed down. TPI manufactures wind turbines. They're putting hundreds of people to work at decent-paying jobs and creating a better future for those families."
CASTRO,"On top of that, let me just say this. We need to support working families. We need to invest in things like..."
BURNETT," Thank you, Mr. Secretary."
CASTRO," ... universal childcare, so that people can afford childcare inste of having to pay 20 percent of their income for it."
YANG," Senator Warren, I just need -- I just need to dress this."
BURNETT," Go ahe, Mr. Yang."
YANG," Senator Warren, I've been talking to Americans around the country about automation. And they're smart. They see what's happening around them. Their Main Street stores are closing. They see a self-serve kiosk in every McDonalds, every grocery store, every CVS. Driving a truck is the most common job in 29 states, including this one; 3.5 million truck drivers in this country. And my friends in California are piloting self-driving trucks."
YANG,"What is that going to mean for the 3.5 million truckers or the 7 million Americans who work in truck stops, motels, and diners that rely upon the truckers getting out and having a meal? Saying this is a rules problem is ignoring the reality that Americans see around us every single day."
BURNETT," Senator Warren, respond, please."
BURNETT,(CROSSTALK)
BURNETT,(APPLAUSE)
