character,text
O’ROURKE,"The second is how insufficient our politics is to meet the threat that we have right now. The bitterness, the pettiness, the smallness of the moment, the incentives to attack one another and try to make differences without distinctions, mountains out of mole hills, we have to be bigger. We have to see clearly, we have to speak honestly, and we have to act decisively. That's what I want to do for you as president of the United States. Thank you."
O’ROURKE,(APPLAUSE)
STEPHANOPOULOS, Senator Cory Booker?
BOOKER," It was over 20 years ago that I was a law student and moved to inner city Newark, New Jersey, to serve as a tenants rights lawyer to try to address the challenges in my community. And I was sobered by them -- the gun violence, the sub-standard housing."
BOOKER,"But it was my greatest mentor, a woman named Ms. Virginia Jones, who challenged me. She said, boy, if all you see in this neighborhood is problems, that's all there's ever going to be. But if you're stubborn and defiant and can put forth a vision that can unify people, then we can make transformative change. She was a church woman that said, without vision, the people will perish."
BOOKER,"Well, that's exactly what we did. We created extraordinary unity in our community, and we did things that other people think -- thought was impossible."
BOOKER,"That's the story of America. At our best, we unify, we find common cause and common purpose. The differences amongst us Democrats on the stage are not as great as the urgency for us to unite as a party, not just to beat Donald Trump, but to unite America in common cause and common purpose. That's why I'm running for president, and that's how I will lead this nation."
BOOKER,(APPLAUSE)
STEPHANOPOULOS, Entrepreneur Andrew Yang?
YANG," In America today, everything revolves around the almighty dollar -- our schools, our hospitals, our media, even our government. It's why we don't trust our institutions anymore. We have to get our country working for us again, instead of the other way around. We have to see ourselves as the owners and shareholders of this democracy rather than inputs into a giant machine."
YANG,(APPLAUSE)
YANG,"When you donate money to a presidential campaign, what happens? The politician spends the money on TV ads and consultants and you hope it works out. It's time to trust ourselves more than our politicians."
YANG,"That's why I'm going to do something unprecedented tonight. My campaign will now give a freedom dividend of $1,000 a month for an entire year to 10 American families, someone watching this at home right now. If you believe that you can solve your own problems better than any politician, go to yang2020.com and tell us how $1,000 a month will help you do just that. This is how we will get our country working for us again, the American people."
YANG,(APPLAUSE)
STEPHANOPOULOS, Mayor Pete Buttigieg?
BUTTIGIEG," It's original, I'll give you that."
BUTTIGIEG,"The American people are divided and doubtful at the very moment we need to rise to some of the greatest challenges we've ever seen. As a mayor of an industrial city coming back from the brink, as a veteran of the war in Afghanistan, I know what's at stake in our national leadership."
BUTTIGIEG,"We keep sending politicians to Washington asking them to fight for us, but then when they get there, they seem more interested in the part about fighting than the part about us. Good politics is supposed to be not about the day-to-day fights of the politicians, but about the day-to-day lives of Americans."
BUTTIGIEG,"We just marked the anniversary of 9/11. All day today, I've been thinking about September 12th, the way it felt when for a moment we came together as a country. Imagine if we had been able to sustain that unity. Imagine what would be possible right now with ideas that are bold enough to meet the challenges of our time, but big enough, as well, that they could unify the American people. That's what presidential leadership can do. That's what the presidency is for. And that is why I'm asking for your vote."
BUTTIGIEG,(APPLAUSE)
STEPHANOPOULOS, Senator Kamala Harris?
HARRIS, Thank you. It's great to be back at TSU.
HARRIS,"So I plan on spending tonight talking with you about my plans to address the problems that keep you up at night. But first, I have a few words for Donald Trump, who we all know is watching."
HARRIS,(LAUGHTER)
HARRIS,"So, President Trump, you've spent the last two-and-a-half years full-time trying to sow hate and division among us, and that is why we've gotten nothing done. You have used hate, intimidation, fear, and over 12,000 lies as a way to distract from your failed policies and your broken promises. The only reason you've not been indicted is because there was a memo in the Department of Justice that says a sitting president cannot be charged with a crime. But here's what you don't get"
HARRIS," What you don't get you is that the American people are so much better than this. And we know that the vast majority of us have so much more in common than what separates us, regardless of our race, where we live, or the party with which we're registered to vote. And I plan on focusing on our common issues, our common hopes and desires, and in that way, unifying our country, winning this election, and turning the page for America."
HARRIS,"And now, President Trump, you can go back to watching Fox News."
HARRIS,(APPLAUSE)
STEPHANOPOULOS, Senator Bernie Sanders? Senator Sanders?
SANDERS," Let me be blunt and tell you what you don't hear much about in Congress or in the media, and that is, it goes without saying that we must and will defeat Trump, the most dangerous president in the history of this country."
SANDERS,(APPLAUSE)
SANDERS,"But we must do more. We must do more. We have got to recognize that this country is moving into an oligarchic form of society where a handful of billionaires control the economic and political life of this country. And as president, I am prepared to take them on."
SANDERS,"Yes, we will raise the minimum wage to a living wage. Yes, we will finally make sure that every American has health care as a human right, not a privilege. And, yes, we will address the catastrophic crisis of climate change and transform our energy system away from fossil fuel."
SANDERS,(APPLAUSE)
STEPHANOPOULOS, Senator Elizabeth Warren?
WARREN," So, I was born and raised in Oklahoma, but I'm sure glad to be in Texas tonight."
WARREN,(APPLAUSE)
WARREN,"All three of my brothers served in military bases here in Texas. That was their ticket to the middle class. Me, I got my big opportunity about a half-mile down the road from here at the University of Houston, back when it cost $50 a semester."
WARREN,(APPLAUSE)
WARREN,"For a price that I could pay for, on a part-time waitressing job, I got to finish my four-year degree and I became a special needs teacher. And after law school, my first big job was back here in Houston."
WARREN,"By then, I had two little kids, and when childcare nearly brought me down, my Aunt Bee moved in and saved us all."
WARREN,"The paths to America's middle class have gotten a lot smaller and a lot narrower. Today, service-members are preyed upon by predatory lenders. Students are crushed by debt. And families cannot afford childcare."
WARREN,(APPLAUSE)
WARREN,I know what's broken. I know how to fix it. And I'm going to lead the fight to get it done.
WARREN,(APPLAUSE)
STEPHANOPOULOS, Vice President Joe Biden.
BIDEN," You know, when President Kennedy announced the moon shot, he used a phrase that sticks with me my whole life. He said, we're doing it because we refuse to postpone. Well, I refuse to postpone one more minute spending billions of dollars on curing cancer, Alzheimer's, and other diseases which, if we invest in them, we can find cures."
BIDEN,"I refuse to postpone giving single child in America, no matter their zip code, pre-K all the way through high school and beyond. I refuse to postpone any longer taking on climate change and leading the world in taking on climate change."
BIDEN,"Look, this is the United States of America. There has never been a single solitary time when we've set our mind to something we've been unable to do it. We're walking around with our heads down like woe is me. We're the best-equipped nation in the world to take this on. It's no longer time to postpone. We should get moving. There's enormous, enormous opportunities once we get rid of Donald Trump."
BIDEN,(APPLAUSE)
STEPHANOPOULOS," Candidates, thank you. Several of you said you are more united than divided, and that is certainly true. All of you agree on one big thing, the goal of defeating President Trump, driving the country in a new direction. But out on the campaign trail, you have outlined big differences over how far to go and how fast to go."
STEPHANOPOULOS,"And, Vice President Biden, the differences between you and the senators on either side of you tonight strike at the heart of this primary debate. Both senators Warren and Sanders want to replace Obamacare with Medicare for All. You want to build on Obamacare, not scrap it. They propose spending far more than you to combat climate change and tackle student loan debt. And they would raise more in taxes than you to pay for their programs."
STEPHANOPOULOS,Are senators Warren and Sanders pushing too far beyond where Democrats want to go and where the country needs to go?
BIDEN," That will be for the voters to decide that question. Let me tell you what I think. I think we should have a debate on health care. I think -- I know that the senator says she's for Bernie, well, I'm for Barack. I think the Obamacare worked. I think the way we add to it, replace everything that has been cut, add a public option, guarantee that everyone will be able to have affordable insurance, number one."
BIDEN,"Number two, I think we should be in a position of taking a look at what costs are. My plan for health care costs a lot of money. It costs $740 billion. It doesn't cost $30 trillion, $3.4 trillion a year, it turns out, is twice what the entire federal budget is. That's before -- exists now, without interest on the debt. How are we going to pay for it? I want to hear that tonight how that's happened."
BIDEN,"Thus far, my distinguished friend, the senator on my left, has not indicated how she pays for it. And the senator has, in fact, come forward and said how he's going to pay for it, but it gets him about halfway there. There's a lot of other things that need to be done."
BIDEN,"I have a bold plan to deal with making sure we triple the money for at-risk schools that are Title I schools, from 15 to $45 billion a year. But I go down the line and these are things we're talking about, I lay out how I can pay for it, how I can get it done, and why it's better."
STEPHANOPOULOS," Senator Warren, let me take that to you, particularly on what Senator Biden was saying there about health care. He has actually praised Bernie Sanders for being candid about his health care plan, that Senator -- says that Sanders has been candid about the fact that middle class taxes are going to go up and most of private insurance is going to be eliminated. Will you make that same admission?"
WARREN," So, let's be clear about health care. And let's actually start where vice president did. We all owe a huge debt to President Obama, who fundamentally transformed health care in America and committed this country to health care for every human being."
WARREN,(APPLAUSE)
WARREN,"And now the question is, how best can we improve on it? And I believe the best way we can do that is we make sure that everybody gets covered by health care at the lowest possible cost. How do we pay for it? We pay for it, those at the very top, the richest individuals and the biggest corporations, are going to pay more. And middle class families are going to pay less. That's how this is going to work."
WARREN,(APPLAUSE)
STEPHANOPOULOS, Direct question. You said middle class families are going to pay less. But will middle class taxes go up to pail for pay for the program? I know you believe that the deductibles and the premiums will go down. Will middle class taxes go up? Will private insurance be eliminated?
WARREN," Look, what families have to deal with is cost, total cost. That's what they have to deal with. And understand, families are paying for their health care today. Families pay every time an insurance company says, sorry, you can't see that specialist. Every time an insurance company says, sorry, that doctor is out of network, sorry, we are not covering that prescription."
WARREN,"Families are paying every time they don't get a prescription filled because they can't pay for it. They don't have a lump checked out because they can't afford the co-pay. What we're talking about here is what's going to happen in families' pockets, what's going to happen in their budgets."
WARREN,"And the answer is on Medicare for All, costs are going to go up for wealthier individuals and costs are going to go up for giant corporations. But for hard-working families across this country, costs are going to go down and that's how it should work under Medicare for All in our health care system."
WARREN,(APPLAUSE)
STEPHANOPOULOS," Senator Sanders, you were invoked by the vice president, also take on that question about taxes."
SANDERS," Well, Joe said that Medicare for All would cost over $30 trillion."
SANDERS,"That's right, Joe."
SANDERS,"Status quo over 10 years will be $50 trillion. Every study done shows that Medicare for All is the most cost-effective approach to providing health care to every man, woman, and child in this country. I, who wrote the damn bill, if I may say so..."
SANDERS,(APPLAUSE)
SANDERS,"... intend to eliminate all out-of-pocket expenses, all deductibles, all co-payments. Nobody in America will pay more than $200 a year for prescription drugs, because we're going to stand up to the greed and corruption and price-fixing of the pharmaceutical industry."
SANDERS,(APPLAUSE)
SANDERS,"We need -- we need a health care system that guarantees health care to all people as every other major country does, not a system which provides $100 billion a year in profit for the drug companies and the insurance companies."
SANDERS,"And I'll tell you how absurd the system is tonight on ABC, the health care industry will be advertising, telling you how bad Medicare for All is, because they want to protect their profits. That is absurd."
SANDERS,(APPLAUSE)
STEPHANOPOULOS, Vice president Biden...
KLOBUCHAR," If I could respond, George."
STEPHANOPOULOS, You get a response and then we're going to broaden out the discussion.
BIDEN," OK, number one, my health care plan does significantly cut the costs of -- the largest out-of-pocket payment you'll pay is $1,000. You'll be able to get into a -- anyone who can't afford it gets automatically enrolled in the Medicare-type option we have, et cetera."
BIDEN,"But guess what? Of the 160 million people who like their health care now, they can keep it. If they don't like it, they can leave. Number one."
BIDEN,"Number two, the fact of the matter is, we're in a situation where, if you notice, he hasn't answered the question. This is about candor, honesty, big ideas. Let's have a big idea. The tax of 2 percent that the senator is talking about, that raises about $3 billion. Guess what? That leaves you $28 billion short."
BIDEN,"The senator said before, it's going to cost you in your pay -- there will be a deductible, in your paycheck. You're going to -- the middle class person, someone making 60 grand with three kids, they're going to end up paying $5,000 more. They're going to end up paying 4 percent more on their income tax. That's a reality. Now, it's not a bad idea if you like it. I don't like it."
STEPHANOPOULOS," OK, now I want everybody to keep to the time, but you did invoke both senators. I have to get responses from them..."
BIDEN," Sure, no, that's good."
STEPHANOPOULOS, ... and then we will broaden it out.
STEPHANOPOULOS,"Senator Warren, you go first."
WARREN," So, let's be clear, I've actually never met anybody who likes their health insurance company."
WARREN,(APPLAUSE)
WARREN,I've met people who like their doctors. I've met people who like their nurses. I've met people who like their pharmacists. I've met people who like their physical therapists. What they want is access to health care. And we just need to be clear about what Medicare for All is all about.
WARREN,"Instead of paying premiums into insurance companies and then having insurance companies build their profits by saying no to coverage, we're going to do this by saying, everyone is covered by Medicare for All, every health care provider is covered. And the only question here in terms of difference is where to send the bill?"
STEPHANOPOULOS, Senator Sanders.
SANDERS," Let us be clear, Joe, in the United States of America, we are spending twice as much per capita on health care as the Canadians or any other major country on earth."
BIDEN, This is America.
SANDERS," Yes, but Americans don't want to pay twice as much as other countries. And they guarantee health care to all people. Under my Medicare for All proposal, when you don't pay out-of-pocket and you don't pay premiums, maybe you've run into people who love their premiums, I haven't."
SANDERS,"What people want is cost-effective health care, Medicare for All will save the average American substantial sums of money on his or her health care bill."
STEPHANOPOULOS," Senator Klobuchar, you said in your opening statement you don't -- you want to represent the people stuck in the middle of the extremes. Who represents the extreme on this stage?"
KLOBUCHAR," I think you know that I don't agree with some of these proposals up here, George, so I'm talking about..."
STEPHANOPOULOS, Which ones?
KLOBUCHAR," If I could -- if I could respond to some of the proposals from my friends. First of all, Senator Sanders and I have worked valiantly to bring down the cost of pharmaceuticals. That was a Klobuchar-Sanders Amendment to allow for drugs to come in from less expensive countries like Canada."
KLOBUCHAR,"We have worked to bring down the cost by fighting to allow 43 million seniors, that's a bill I lead, to negotiate for better prices under Medicare. I figure that's a lot of seniors and they should be allowed to get a better price."
KLOBUCHAR,"But when it comes to our health care and when it comes to our premiums, I go with the doctor's creed, which is, do no harm. And while Bernie wrote the bill, I read the bill. And on page eight -- on page eight of the bill, it says that we will no longer have private insurance as we know it. And that means that 149 million Americans will no longer be able to have their current insurance."
KLOBUCHAR,"That's in four years. I don't think that's a bold idea, I think it's a bad idea. And what I favor is something that what Barack Obama wanted to do from the very beginning. And that is a public option. A non-profit choice that would bring down the cost of insurance, cover 12 million more people, and bring down the prices for 13 million more people. That is a bold idea."
KLOBUCHAR,(APPLAUSE)
STEPHANOPOULOS," Senator Warren, page eight of the bill, she says, 149 people will lose their health insurance."
WARREN, I'm sorry.
STEPHANOPOULOS," She said, page eight of the bill, 149 million people will lose their health insurance."
KLOBUCHAR, Current health insurance.
BIDEN, One hundred forty-nine million.
STEPHANOPOULOS," Million, excuse me."
WARREN," So let's be clear about this. People will have access to all of their doctors, all of their nurses, their community hospitals, their rural hospitals. Doctors won't have to hire people to fill out crazy forms. They won't have to spend time on the phone arguing with insurance companies. People who have sick family members won't have to get into these battles."
WARREN,What this is about is making sure that we have the most efficient way possible to pay for health care for everyone in this country. Insurance companies last year sucked $23 billion in profits out of the system. How did they make that money? Every one of those $23 billion was made by an insurance company saying no to your health care coverage.
STEPHANOPOULOS, Mayor Buttigieg?
BUTTIGIEG," The problem, Senator Sanders, with that damn bill that you wrote, and that Senator Warren backs, is that it doesn't trust the American people. I trust you to choose what makes the most sense for you. Not my way or the highway."
BUTTIGIEG,"Now look, I think we do have to go far beyond tinkering with the ACA. I propose Medicare for all who want it. We take a version of Medicare, we make it available for the American people, and if we're right, as progressives, that that public alternative is better, then the American people will figure that out for themselves. I trust the American people to make the right choice for them. Why don't you?"
STEPHANOPOULOS," Senator Sanders, 45 seconds."
SANDERS," George, you talked about, was it 150 million people on private insurance? Fifty million of those people lose their private insurance every year when they quit their jobs or they go unemployed or their employer changes their insurance policy. Medicare for All is comprehensive health care. Covers all basic needs, including home health care."
SANDERS,"It allows you to go to any doctor you want, which many private insurance company programs do not. So, if you want comprehensive health care, freedom of choice regarding doctor or hospital, no more than $200 a year for prescription drugs, taking on the drug companies and the insurance companies, moving to Medicare for All is the way to go."
SANDERS,(APPLAUSE)
STEPHANOPOULOS," Senator Harris, you startled out co-sponsoring Senator Sanders's bill, you now say you're uncomfortable with it. Why?"
HARRIS," I want to give credit first to Barack Obama for really bringing us this far. We would not be here if he hadn't the courage, the talent, or the will to see us this far."
HARRIS,"I want to give credit to Bernie. Take credit, Bernie. You know, you brought us this far on Medicare for All. I support Medicare for All, I always have, but I wanted to make the plan better, which I did."
HARRIS,"Which is about offering people choice, not taking that from them."
HARRIS,"So, under my Medicare for all plan, people have the choice of a private plan or a public plan, because that's what people want. And I agree, we shouldn't take choice from people."
HARRIS,"But here's the thing. Everybody on this stage, I do believe, is well intentioned and wants that all Americans have coverage and recognizes that right now 30 million Americans don't have coverage. But at least five people have talked, some repeatedly on this subject, and not once have we talked about Donald Trump."
HARRIS,"So let's talk about the fact that Donald Trump came into office and spent almost the entire first year of his term trying to get rid of the Affordable Care Act. We all fought against it. And then the late, great John McCain, at that moment at about 2 o'clock in the morning, killed his attempt to take health care from millions of people in this country."
HARRIS,(APPLAUSE)
HARRIS,"Fast forward to today, and what is happening? Donald Trump's Department of Justice is trying to get rid of the Affordable Care Act. Donald Trump's administration is trying to get rid of the ban that we placed on denying people who have pre-existing conditions coverage. Donald Trump is trying to say that our kids up to the age of 26 can no longer be on our plans."
HARRIS,"And frankly, I think this discussion has given the American public a headache. What they want to know is that they're going to have health care and cost will not be a barrier to getting it. But let's focus on the end goal. If we don't get Donald Trump out of office, he's going to get rid of all of it."
BIDEN," George, 15 seconds? Fifteen seconds?"
BIDEN,(APPLAUSE)
STEPHANOPOULOS," Let me get to Congressman O'Rourke and then bring you -- go ahead, Mr. Vice President."
BIDEN," Fifteen seconds. Look, everybody says we want an option. The option I'm proposing is Medicare for all -- Medicare for choice. If you want Medicare, if you lose the job from your insurance -- from your employer, you automatically can buy into this. You don't have -- no pre-existing condition can stop you from buying in. You get covered, period."
BIDEN,"And if you notice, nobody's yet said how much it's going to cost the taxpayer. I hear this large savings, the president thinks -- my friend from Vermont thinks that the employer's going to give you back if you negotiated as a union all these years, got a cut in wages because you got insurance. They're going to give back that money to the employee?"
SANDERS," As a matter of fact, they will in our bill."
BIDEN," Well, let me tell you something. For a socialist, you've got -- for a socialist, you've got a lot more confidence in corporate America than I do."
STEPHANOPOULOS, Senator Sanders?
SANDERS," OK, one minute, George?"
STEPHANOPOULOS, Go ahead.
SANDERS," All right. Two points. You got to defend the fact that today not only do we have 87 million people uninsured and underinsured, you got to defend the fact that 500,000 Americans are going bankrupt. You know why they're going bankrupt? Because they suffered a terrible disease -- cancer or heart disease."
SANDERS,"Under my legislation, people will not go into financial ruin because they suffered with a diagnosis of cancer. And our program is the only one that does that."
BIDEN," I know a lot about cancer, let me tell you something. It's personal to me. Let me tell you something. Every single person who is diagnosed with cancer or any other disease can automatically become part of this plan. They will not go bankrupt because of that. They will not go bankrupt because of that. They can join immediately."
BIDEN,"And we're talking four, six, eight, ten years, depending on who you talk about, before we get to Medicare for all. Come on. I've been there. You've been there. You know what it's like. People need help now, hope now, and do something now."
BIDEN,(APPLAUSE)
STEPHANOPOULOS, Congressman O'Rourke?
O’ROURKE," Yeah. Thank you. Listen, I'm grateful that we all agree about the urgency of this challenge and the fact that Donald Trump is undermining the limited protections that we have right now."
O’ROURKE,"But I also think we're being offered a false choice between those who propose an all-or-nothing gambit, forcing tens of millions off of insurance that they like, that works for them, to force them onto Medicare, and others who want to, as the vice president does, incrementally improve what we have, which will still leave many, maybe millions uninsured and uncared for."
O’ROURKE,"In a state like Texas, where the largest provider of mental health care services is the county jail system, we've got to do better. In my proposal, Medicare for America, says everyone who's uninsured will be enrolled in Medicare. Everyone who's insufficiently insured, cannot afford it, can move over to Medicare. And those, like members of unions who've fought for the health care plans that work for them and their families, are able to keep them. This is the best possible path forward."
BIDEN, You just described my plan (ph).
STEPHANOPOULOS," This is -- health care is the top issue for everyone in the country. I want to make sure everyone gets one minute to respond. So, Secretary Castr, Andrew Yang, and then Senator Booker, you will get a minute."
CASTRO," Thank you. And, you know, I also want to recognize the work that Bernie has done on this. And, of course, we owe a debt of gratitude to President Barack Obama. Of course, I also worked for President Obama, Vice President Biden, and I know that the problem with your plan is that it leaves 10 million people uncovered."
CASTRO,"Now, on the last debate stage in Detroit, you said that wasn't true, when Senator Harris brought that up. There was a fact check of that, and they said that was true."
CASTRO,"You know, I grew up with a grandmother who had type 2 diabetes, and I watched her condition get worse and worse. But that whole time, she had Medicare. I want every single American family to have a strong Medicare plan available."
CASTRO,"If they choose to hold on to strong, solid private health insurance, I believe they should be able to do. But the difference between what I support and what you support, Vice President Biden, is that you require them to opt in and I would not require them to opt in. They would automatically be enrolled. They wouldn't have a buy in."
CASTRO,"That's a big difference, because Barack Obama's vision was not to leave 10 million people uncovered. He wanted every single person in this country covered. My plan would do that. Your plan would not."
BIDEN, They do not have to buy in. They do not have to buy in.
CASTRO, You just said that. You just said that two minutes ago. You just two minutes ago that they would have to buy in.
BIDEN, Do not have to buy in if you can't afford it.
CASTRO, You said they would have to buy in.
BIDEN," Your grandmother would not have to buy in. If she qualifies for Medicaid, she would automatically be enrolled."
CASTRO," Are you forgetting what you said two minutes ago? Are you forgetting already what you said just two minutes ago? I mean, I can't believe that you said two minutes ago that they had to buy in and now you're saying they don't have to buy in. You're forgetting that."
BIDEN, I said anyone like your grandmother who has no money.
CASTRO," I mean, look, look, we need a health care system..."
BIDEN, She -- you're automatically enrolled.
CASTRO," It automatically enrolls people regardless of whether they choose to opt in or not. If you lose your job, for instance, his health care plan would not automatically enroll you. You would have to opt in. My health care plan would. That's a big difference. I'm fulfilling the legacy of Barack Obama, and you're not."
BIDEN, That'll be a surprise to him.
STEPHANOPOULOS, Andrew Yang?
YANG," Come on, guys."
BUTTIGIEG, This is why presidential debates are becoming unwatchable.
KLOBUCHAR, Yeah.
BUTTIGIEG," This reminds everybody of what they cannot stand about Washington, scoring points against each other, poking at each other, and telling each other that -- my plan, your plan. Look, we all have different visions for what is better..."
CASTRO," Yeah, that's called the Democratic primary election, Pete. That's called an election."
CASTRO,(APPLAUSE)
CASTRO,That's an election. You know? This is what we're here for. It's an election.
KLOBUCHAR," Yes, but a house -- a house divided cannot stand. And that is not how we're going to win this."
KLOBUCHAR,(APPLAUSE)
YANG," Look, everyone, we know we're on the same team here. We know we're on the same team. We all have a better vision for health care than our current president."
YANG,"And I believe we're talking about this the wrong way. As someone who has run a business, I know that our current health care system makes it harder to hire people, makes it harder to give them benefits and treat them as full-time employees. You instead pretend their contractors. It's harder to change jobs. It's certainly harder to start a business."
YANG,"The pitch we have to make to the American people is, we will get the health care weight off of your backs and then unleash the hopes and dreams of the American people."
YANG,(APPLAUSE)
STEPHANOPOULOS, Senator Booker...
YANG," Now, I am Asian, so I know a lot of doctors, and they tell me that they spend a lot of time on paperwork, avoiding being sued, and navigating the insurance bureaucracy. We have to change the incentives so instead of revenue and activity, people are focused on our health in the health care system."
YANG,"And the Cleveland Clinic, where they're paid not based upon how many procedures they prescribe -- shocker -- they prescribe fewer procedures, and patient health stays the same or improves. That is the pitch to the American people."
STEPHANOPOULOS," Senator Booker, close out this discussion."
BOOKER," Thank you very much. Look, there are a lot of people watching at home right now, listening to us that are afraid because they are in crisis. They don't have health insurance. Their health insurance doesn't go far enough. They can't afford their prescription drugs."
BOOKER,"Look, I'm clear in what I believe. I believe in Medicare for all. I believe it's the best way to rationalize the system. But dear God, I know every one of my colleagues on this stage is in favor of universal health coverage and comes at this with the best of intentions."
BOOKER,"And I'll tell you, there is an urgency right now in this nation. Everybody feels it. And as a person who has an ideal, I know we cannot sacrifice progress on the altar of purity, because people in my community, they need help right now. They have high blood pressure right now. They have unaffordable insulin right now."
BOOKER,"And this must be a moment where we as Democrats can begin to show that we cannot only stake and stand our ground, but find common ground, because we've got one shot to make Donald Trump a one-term president."
BOOKER,(APPLAUSE)
BOOKER,"And we cannot lose it by the way we talk about each other or demonize and degrade each other. We can walk and chew gum at the same time. If I am the leader, I will work towards the ideal of health insurance, health coverage being a right for all Americans. But every single day, I'll join with other Democrats to make progress happen in our nation for the people that are struggling and suffering today."
STEPHANOPOULOS," Candidates, thank you. Linsey Davis?"
