character,text,
CASTRO,"I want you to know that, if I'm elected president, that I will work hard every single day so that you and your family can have good health care when you need it, so that your children and grandchildren can get a good education so that they can reach their dreams and that you can have good job opportunities, whether you live here in a big city like Detroit or in a small town in our country.",
CASTRO,"I know we have a wonderful, special nation but that too many people are struggling. And I know what that's like, too. You know, I grew up with a single mom in a poor neighborhood. But like many of you, I don't want to make America anything again. I don't want us to go backward. We're not going back to the past. We're not going back where we came from. We're going to move forward. We're going to make America better than it's ever been in the years to come. Let's do that together.",
CASTRO,(APPLAUSE),
BASH, Andrew Yang?,
YANG," If you've heard anything about me and my campaign, you've heard that someone is running for president who wants to give every American $1,000 a month. I know this may sound like a gimmick, but this is a deeply American idea, from Thomas Paine to Martin Luther King to today.",
YANG,"Let me tell you why we need to do it and how we pay for it. Why do we need to do it? We already automated away millions of manufacturing jobs, and chances are your job can be next. If you don't believe me, just ask an auto worker here in Detroit.",
YANG,"How do we pay for it? Raise your hand in the crowd if you've seen stores closing where you live. It is not just you. Amazon is closing 30 percent of America's stores and malls and paying zero in taxes while doing it. We need to do the opposite of much of what we're doing right now, and the opposite of Donald Trump is an Asian man who likes math.",
YANG,(APPLAUSE),
YANG,"So let me share the math. A thousand dollars a month for every adult would be $461 million every month, right here in Detroit alone. The automation of our jobs is the central challenge facing us today. It is why Donald Trump is our president, and any politician not addressing it is failing the American people.",
YANG,(APPLAUSE),
BASH, Senator Cory Booker?,
BOOKER," Thank you, Dana.",
BOOKER,"Last week the president of the United States attacked an American city, calling it ""a disgusting, rat-infested rodent mess.""",
(UNKNOWN), (inaudible),
BOOKER," We need a nation that understands that this tired old language, the...",
(UNKNOWN), (chanting) (ph),
LEMON," Stand by, Senator.",
(UNKNOWN), (chanting) (ph),
BOOKER, I will stand by.,
(UNKNOWN), (chanting) (ph),
LEMON, Please stand by.,
(UNKNOWN), (chanting) (ph),
(UNKNOWN),(APPLAUSE),
LEMON," Please, continue, Senator.",
BOOKER, Thank you very much.,
BOOKER,"Donald Trump, from Charleston to Baltimore to even the border, is using the tired, old language of demagogues, of fear-mongers, of racists, to try to divide our country against itself. We know who Donald Trump is, but in this election, the question is who are we as a people?",
BOOKER,"We have serious problems in America. We have deep wounds and seriously deeply rooted challenges. We desperately need to heal as a nation and move forward. Because we know in this country that our fates are united, that we have a common destiny. The call of this election is the call to unite in common cause and common purpose. That's how we will beat Donald Trump. That's how I will beat Donald Trump. And as your president, that's how I will govern and move us forward together.",
BOOKER,(APPLAUSE),
BASH, Senator Kamala Harris?,
HARRIS," This is an inflection moment in the history of our country. I think we all know that. This is a moment in time that is requiring us each as individuals and collectively to look in a mirror and ask a question, that question being ""Who are we?""",
HARRIS,"And I think most of us know that part of the answer to that question is we are better than this. So this then becomes a moment that we must fight for the best of who we are. And fight, of course, we will.",
HARRIS,And this is not a new fight for us as Americans. We have always been prepared to fight for our ideals. We have always been a nation that fights for the best of who we are.,
HARRIS,"And I'll tell you, I come from fighters. My parents met when they were active in the civil rights movement. My sister, Maya, and I joke we grew up surrounded by a bunch of adults who spent full time marching and shouting about this thing called justice.",
HARRIS,"And I am prepared to march with you, to fight with you for the best of who we are and to successfully prosecute the case of four more years of Donald Trump, and against him.",
HARRIS,(APPLAUSE),
BASH, Vice President Joe Biden.,
BIDEN," Tonight, I think Democrats are expecting some engagement here. And I expect we'll get it.",
BIDEN,"I'm running for president to restore the soul of this country. You know, we have a president, as everybody has acknowledged here, every day is ripping at the social fabric of this country, but no one man has the capacity to rip that apart. It's too strong. We're too good.",
BIDEN,"Just look at this stage, made up of very diverse people from diverse backgrounds, went on to be mayors, senators, governors, congresswomen, members of the cabinet, and, yes, even a vice president.",
BIDEN,"Mr. President, this is America. And we are stronger and great because of this diversity, Mr. President, not in spite of it, Mr. President.",
BIDEN,(APPLAUSE),
"So, Mr. President, let's get something straight", We love it. We are not leaving it. We are here to stay. And we're certainly not going to leave it to you.,
"So, Mr. President, let's get something straight",(APPLAUSE),
BASH," Thank you, Vice President Biden. I want to start the debate with one of the top priorities for Democratic voters, and that is health care.",
BASH,"Senator Harris, this week you released a new health care plan which would preserve private insurance and take 10 years to phase in. Vice President Biden's campaign calls your plan, quote, ""a have-it-every-which-way approach"" and says it's just part of a confusing pattern of equivocating about your health care stance. What do you say to that?",
HARRIS," Well, they're probably confused because they've not read it. But the reality is that I have been spending time in this campaign listening to American families, listening to experts, listening to health care providers, and what I came away with is a very clear understanding that I needed to create a plan that was responsive to the needs of the American people, responsive to their needs understanding that insurance companies have been jacking up the prices for far too long, that American families have to be held down by deductibles and co-pays and premiums that can cause them bankruptcy.",
HARRIS,"I listened to the American families who said four years is just not enough to transition into this new plan, so I devised a plan where it's going to be 10 years of a transition.",
HARRIS,"I listened to American families who said I want an option that will be under your Medicare system that allows a private plan. So I designed a plan where, yes, responsive to the needs of American families, there will be a public plan, under my plan for Medicare, and a private plan, under my plan for Medicare.",
Because the bottom line is this," We must agree that access to health care must be a right and not just a privilege of those who can afford it. And in America today, far too many people -- in fact, 30 million people -- are going without access to health care.",
BASH," Thank you, Senator. Thank you, Senator Harris. Vice President Biden, your response.",
BIDEN," Well, my response is that the senator has had several plans so far. And any time someone tells you you're going to get something good in 10 years, you should wonder why it takes 10 years.",
BIDEN,"If you noticed, there is no talk about the fact that the plan in 10 years will cost $3 trillion. You will lose your employer-based insurance. And in fact, you know, this is the single most important issue facing the public. And to be very blunt and to be very straightforward, you can't beat President Trump with double-talk on this plan.",
BASH," Your response, Senator Harris?",
HARRIS," Absolutely. Unfortunately, Vice President Biden, you're just simply inaccurate in what you're describing. The reality is that our plan will bring health care to all Americans under a Medicare for All system.",
HARRIS,"Our plan will allow people to start signing up on the first day. Babies will be born into our plan, and right now, 4 million babies almost are born every day in America -- or every year in America. Under our plan, we will ensure that everyone has access to health care.",
HARRIS,"Your plan, by contrast, leaves out almost 10 million Americans. So I think that you should really think about what you're saying, but be reflective and understand that the people of America want access to health care and do not want cost to be their barrier to getting it.",
BASH," Senator Harris, thank you. Vice President Biden, your response?",
BIDEN," The plan, no matter how you cut it, costs $3 trillion when it is, in fact, employed, number one. Ten years from now, after two terms of the senator being president, after her time.",
BIDEN,"Secondly, it will require middle-class taxes to go up, not down. Thirdly, it will eliminate employer-based insurance. And fourthly, what happens in the meantime?",
HARRIS," I'd like to respond. First of all, the cost of doing nothing is far too expensive. Second, we are now paying $3 trillion a year for health care in America. Over the next 10 years, it's probably going to be $6 trillion. We must act.",
HARRIS,"My plan is about immediately allowing people to sign up and get into coverage. Right now in America, we have seniors, who every day -- millions of seniors are going into the Medicare system and they are getting full coverage and the kind of coverage they need. All people should have access to health care. And costs should not be their barrier.",
BASH," Thank you, Senator Harris.",
BASH,"Mayor de Blasio, let's bring you in here. What's your response?",
DE BLASIO, Thank you. I don't know what the vice president and the senator are talking about. The folks I talk to about health insurance say that their health insurance isn't working for them.,
DE BLASIO,"There's tens of millions of Americans who don't even have health insurance, tens of millions more who have health insurance they can barely make work because of the co-pays, the deductibles, the premiums, the out-of-pocket expenses.",
DE BLASIO,"There's this mythology that somehow all of these folks are in love with their insurance in America. What I hear from union members and from hard-working, middle-class people is they wish they had better insurance and they're angry at private insurance companies that skim all the profits off the top and make it impossible for everyday people to get coverage like mental care...",
BASH," Thank you, Mr. Mayor.",
DE BLASIO," ... dental care, the things that would be full coverage for all Americans.",
BASH," Thank you, Mr. Mayor.",
BASH,"Vice President Biden, you just heard Mayor de Blasio. He said in the past that Democrats who wanted to keep the private insurance industry are defending a health care system that is not working. What's your response?",
BIDEN," My response is, Obamacare is working. The way to build this and get to it immediately is to build on Obamacare. Go back and do -- take back all the things that Trump took away, provide a public option, meaning every single person in America would be able to buy into that option if they didn't like their employer plan, or if they're on Medicaid, they'd automatically be in the plan.",
BIDEN,"It would take place immediately. It would move quickly. And it would insure the vast, vast, vast majority of Americans.",
BIDEN,"In the meantime, what happens? Did anybody tell you how much their plans cost? My plan costs $750 billion. That's what it costs. Not $30 trillion.",
BASH," Thank you, Mr. Vice President. Senator Gillibrand, you support Medicare for All. How do you feel about Senator Harris continuing to call her health proposal Medicare for All, when it includes a far more significant role for private insurance than the bill you co-sponsored?",
GILLIBRAND," I think for the viewers in the audience right now, they're at risk of losing the forest through the trees, because the truth is, health care in America should be a right.",
GILLIBRAND,"When I was a young mother and had Theo as an infant, he had an allergic reaction to eggs and his whole body turned red and puffy. I had to rush him to the emergency room. My heart is palpitating because I'm worried that his throat will close. I am not worried about not having an insurance card or a credit card in my wallet. I know whatever they're going to prescribe, whether it's an EpiPen or an inhaler, I can afford it.",
GILLIBRAND,"The truth about health care in America today is people can't afford it. They cannot afford -- and the insurance companies for these plans that rely on insurance companies, I'm sorry, they're for-profit companies. They have an obligation to their shareholders. They pay their CEO millions of dollars. They have to have quarterly profits.",
GILLIBRAND,They have fat in the system that's real and it should be going to health care. So let's not lose the forest for the trees.,
GILLIBRAND,"And last, let's not forget what the Republicans are doing, because the truth is, the Republicans and Trump, their whole goal is to take away your health care.",
BASH, Thank you.,
GILLIBRAND," To make it harder for you to afford it, even if you have pre-existing conditions.",
BASH," Thank you, Senator Gillibrand. Senator Harris, your response?",
BASH,(APPLAUSE),
HARRIS," In response to Senator Biden about the Affordable Care Act, it is important that you understand that our Medicare for All plan has actually by the architect of the Obama Affordable Care Act been described as one of the most effective ways to bring health care to all. Kathleen Sebelius has endorsed our plan as being something that will get us to where we need to go.",
HARRIS,"In terms of the point that Senator Gillibrand is raising, I couldn't agree more. Senator Biden, your plan will keep and allow insurance companies to remain with status quo, doing business as usual, and that's going to be about jacking up co-pays, jacking up deductibles...",
BASH," Thank you, Senator.",
HARRIS, It will still be the situation that people going to an emergency room...,
BASH," Thank you, Senator Harris. Vice President Biden, your response?",
HARRIS," ... have to come out $5,000.",
BIDEN," My plan makes a limit of co-pay to be $1,000, because we further support the -- the ability to buy into the Obamacare plan.",
BIDEN,"Secondly, the idea that this is somehow a bad idea, no one has to keep their private insurance, but they - if they like their insurance, they should be able to keep it. Nothing is demanded in my plan that there be private insurance.",
BIDEN,"It says, if the 160 million who have it say they like their employer insurance, they should have a right to have it. If they don't, they can buy into the Biden plan, which is Obamacare with -",
BASH," Thank you, Mr. Vice President. Thank you. Senator Booker, let me bring you in here. You say you support Medicare for All. You also say you are not going to pull private health insurance from more than 150 million Americans in exchange for a government plan, but that's what Medicare for All would do.",
BASH,So how do you square that?,
BOOKER," Well, first of all, let me just say, that the person that's enjoying this debate most right now is Donald Trump, as we pit Democrats against each other, while he is working right now to take away Americans' healthcare. There is a court case working through the system that's going to gut the Affordable Care Act and actually gut protections on preexisting conditions.",
BOOKER,"And so, I was raised by two civil rights parents who told me, always keep your eyes on the prize. And that is that in the United States of America, every Democrat should stand with the belief that everyone should have access to healthcare, that it's a human right. And how we get there, it has to be to end this broken system, because we are on our way, just a handful of years of literally spending 20 percent of our economy, one out of every $5 spent on healthcare.",
BOOKER,"And we spend more than every other nation, on everything from MRIs to insulin drugs, multiple mores than other countries - multiple more than other countries. And so, do you want to know what I'm going to do? I'm going to work to get us to a point where Medicare for All - where everyone is covered.",
BOOKER,"But this pitting against progressives against moderates, saying one is unrealistic and the other doesn't care enough, that to me is dividing our party and demoralizing us in face of the real enemy here. And I'm -",
BASH," Thank you, Senator.",
BASH,(APPLAUSE),
BOOKER, - going to keep fighting for that.,
BASH," Congressman Gabbard, what's your response?",
GABBARD," The reality is right now, we don't have a healthcare system. We have a sick care system, and there are far too many people in this country who are sick and unable to get the care that they need because they cannot afford it. So the core of this problem is the fact that big insurance companies and big pharmaceutical companies who've been profiting off the backs of sick people have had a seat at the table, writing this legislation.",
GABBARD,"Now, Kamala Harris just talked about Kathleen Sebelius who helped write her bill. This just pointed to the fatal flaw in her proposal. Sebelius works for Medicare Advantage, a private insurance company who will stand to profit under her plan. If we're seeking to really reform our healthcare system, we've got to shut out big insurance and big pharma out of the drafting process so they cannot continue to profit off the backs of the sick people in this country who are searching and in desperate need of care.",
BASH," Senior Harris, your response?",
BASH,(APPLAUSE),
HARRIS," Well, unfortunately, Representative Gabbard got it wrong. Kathleen Sebelius did not write my plan; she endorsed it as being one of the plans that is the best to get us to a place where everyone is going to have access to healthcare in America. And when we talk about this again, I'm going to back to Vice President Biden, because your plan does not cover everyone in America.",
HARRIS,"By your staffs and your own definition, 10 million people - as many as 10 million people will not have access to healthcare. And in 2019 in America, for a Democrat to be running for president with a plan that does not cover everyone, I think is without excuse. Our plan covers everyone -",
BASH," Thank you, Senator.",
HARRIS, - and gives people choice,
BASH," Thank you, Senator. Vice President Biden, your response?",
BIDEN," My plan does - will cover everyone, number one. Number two, the fact is that my plan also calls for controlling drug prices. The biopharma is now where things are going to go. It's no longer chemicals. It's about all these breakthroughs that we have, with the whole (ph) - excuse me, immune system.",
BIDEN,"And what we have to do now is we have to have a form that sits in HHS and says, as you develop a drug, you got to come to us and decide what you can sell it for. We will set the price. And secondly, it says that you cannot raise that price beyond the cost of inflation from this point on.",
TAPPER," Thank you, Mr. Vice President. I want to bring in Senator Bennet. Last night, on this stage, one of your democratic rivals suggested that running on Medicare for All would get Donald Trump reelected.",
BENNET," I agree that it makes it much more likely. Unlike others on this stage, I've been crystal clear of where I've been for a decade, through two tough races in Colorado. I believe we should finish the job we started with the Affordable Care Act with a public option that gives everybody in this audience the chance to pick for their family, whether they want private insurance or public insurance.",
BENNET,"It requires the drug companies to be negotiated with by Medicare and it provides competition. That is totally different from the plan that Senator Warren and Senator Sanders and Senator Harris have proposed, which would make illegal employer based health insurance in this country and massively raise taxes on the middle class to the tune of $30 trillion.",
BENNET,"As Joe Biden said, we don't need to do that. It doesn't make sense for us to take away insurance from half the people in this room and -- and put huge taxes on almost everybody in this room when we pass a public option, trust the American people to make the right decision, and have universal healthcare in this country in two years, not 10 years.",
TAPPER," Thank you, Senator. Secretary Castro, I want to bring you in ...",
HARRIS, I -- I need to respond.,
TAPPER, Your response. I'll come to you right after Secretary Castro. Secretary Castro.,
CASTRO," Well, I know that this is something very personal for all Americans. You know I grew up with a grandmother that had diabetes and I watched as her condition got worse and worse. That whole time she had Medicare.",
CASTRO,I want to strengthen Medicare for the people who are on it and then expand it to anybody who wants it. I also believe thought that if somebody has a private health insurance plan that is strong that they want to hold on to that they should be able to do that.,
CASTRO,"What I don't believe is that the profit motive of big pharma or big insurance companies should ever determine, in our great nation, whether somebody gets healthcare or not.",
TAPPER," Thank you, Secretary Castro. Senator Harris, Senator Bennet had suggested that you support banning employer based health insurance. Is that true?",
HARRIS," Well first of all, with all due respect to my friend, Michael Bennet, my plan does not offer anything that is illegal. What it does is it separates the employer from healthcare, meaning that where you work will not be a -- where -- the kind of healthcare you get will not be a function of where you work.",
HARRIS,"I have me met so many Americans who stick to a job that they do not like, where they are not prospering simply because they need the healthcare that that employer provides. It's time that we separate employers from the kind of healthcare people get and under my plan; we do that as it relates to the insurance and the pharmaceutical companies ....",
TAPPER," Thank you, Senator.",
HARRIS, Who will not be called in and who will not be taken to task by Senator Biden or Senator Bennet's plan ...,
TAPPER," Thank you, Senator.",
HARRIS, We will do that.,
TAPPER," Senator Bennet, I want to bring you back.",
BENNET," Senator Harris is my friend as well, but I have to say if we can't admit -- if we can't admit tonight what's in the plan, which is banning employer based insurance, we're not going to be able to admit that when Donald Trump is accusing democrats of doing that as well.",
BENNET,We need to be honest about what's in this plan. It bans employer based insurance and taxes the middle class to the tune of $30 trillion. Do you know how much that is? That is 70 percent of what the government will collect in taxes over the next 10 years.,
TAPPER," Thank you, Senator.",
BENNET, We don't need to do that.,
BENNET,(CROSSTALK),
BENNET,We can have a public option to have universal healthcare in this country.,
TAPPER, I do want to bring in Senator Harris because he just suggested you were not being honest.,
HARRIS," He -- we cannot keep with the republican talking points on this. You got to stop. The reality is that - what -- under my Medicare for All plan, yes, employers are not going to be able to dictate the kind of healthcare that their employees get. They will be able to make that decision.",
HARRIS,"Private insurance companies and private carriers, if they comply by our rules and play by our rules, will be able to offer those employees healthcare coverage under a private Medicare plan or they can have the option of a public Medicare plan. But it is misleading to suggest that employees want what their employer is offering only. They want choice and my plan gives that to them.",
TAPPER," Thank. Thank you, Senator. Governor Inslee, I want to bring you in. You recently signed a public option into law, which allows Washington State residents to purchase a state backed plan if they want to.",
TAPPER,But this may only save families in Washington State as little as 5 percent off premiums. Is 5 percent really the kind of relief that the American people need?,
INSLEE," No, we need universal coverage. And I'm proud of our state that has done less squabbling and actually getting things done. And I am proud that we are the first state to offer a publically sanctioned offer of healthcare to our citizens.",
INSLEE,"I'm also proud that we didn't stop there. We're also the first state that has taken care of our elders, our seniors. We have a looming retirement wave coming up. I'm proud that our state -- our state has made them eligible to retire in dignity.",
INSLEE,"I'm also proud of this and I think we need to talk more about this as democrats, it is time to give people adequate mental healthcare in this country. And we are -- we are ...",
INSLEE,(APPLAUSE),
INSLEE,We are having -- we've had some success in integrating mental health with physical health. There's no reason we should distinguish between your physiological and your mental health.,
INSLEE,"And the last thing we're doing, I think it's very instructive for the nation. We know we're being eaten alive by pharmaceutical cost. We have had one of, if not the most, innovative way to drive down pharmaceuticals for life saving medications in the United States.",
INSLEE,"We have had one of, if not the most innovative way to drive down pharmaceuticals for life-saving medications in the United States. That's a record of Washington state I'd like to take to Washington, D.C.",
TAPPER," Thank you. Thank you, Governor Inslee.",
TAPPER,"Mr. Yang, I want to bring you in. You support a Medicare for All system. How do you respond to Governor Inslee?",
YANG," Well, I just want to share a story. When I told my wife I was running for president, you know the first question she asked me? What are we going to do about our health care?",
YANG,"That's a true story, and it's not just us. Democrats are talking about health care in the wrong way. As someone who's run a business, I can tell you flat out our current health care system makes it harder to hire, it makes it harder to treat people well and give them benefits and treat them as full-time employees, it makes it harder to switch jobs, as Senator Harris just said, and it's certainly a lot harder to start a business.",
YANG,"If we say, look, we're going to get health care off the backs of businesses and families, then watch American entrepreneurship recover and bloom. That's the argument we should be making to the American people.",
YANG,(APPLAUSE),
TAPPER," Thank you, Mr. Yang.",
TAPPER,Mayor de Blasio?,
DE BLASIO," Yeah, I don't understand why Democrats on this stage are fearmongering about universal health care. It makes no sense. Ask the American people, they are sick of what the pharmaceutical companies are doing to them. Ask them what they feel about the health insurance companies. They feel it's holding back their families because they can't get the coverage they need. They get a lot of noes. They don't get a lot of help from health insurance companies.",
DE BLASIO,"Why are we not going to be the party that does something bold, that says we don't need to be dependent on private insurance? We can have a system that actually covers everyone. You know what? Donald Trump won this state of Michigan by saying he was going to disrupt the status quo. How about we be the party that's going to disrupt the status quo for working people?",
TAPPER," Thank you. Mr. Mayor, just a 15-second point of clarification. Who are you talking about? Who's fearmongering?",
DE BLASIO," Certainly, with all due respect to Senator Bennet, what he's saying is absolutely inaccurate about taxes. Americans right now are paying so much money for their health care, ask people about the reality of premiums, deductibles, co-pays, out-of-pocket expenses.",
TAPPER, Thank you.,
DE BLASIO," That's worse than any tax, and people are paying that right now.",
TAPPER," Thank you, Mr. Mayor.",
TAPPER,Senator Bennet?,
BENNET, This -- this is -- this has nothing to do with Republican talking points or the pharmaceutical industry. This has to do with having faith in the American people that they can make the right decisions for their families and they can choose a public option.,
BENNET,"Bernie Sanders, who said last night he wrote the damn bill, and he did, just like I wrote the damn public option bill, is the guy who says it will cost $32 trillion and that we're going to have to raise those taxes to pay for it. He says that. Republicans don't say it. Don't try to district from the truth.",
TAPPER," Thank you, Senator Bennet.",
BENNET, You can't hide from the truth.,
TAPPER," I want to let Mayor de Blasio -- and then I'm going to come to you, Vice President Biden.",
BENNET, We need to be for universal health care.,
DE BLASIO," Senator, if we as Democrats say we're done with private insurance, has only hurt the American people in so many ways, we're going to give them something that works for their family's full coverage that they can depend on. If we say that, then there's an election. The American people get to decide.",
DE BLASIO,"The ultimate choice, Senator, is an election, and this should be the party that stands for universal health care and says we're not going to accept anything less. Right now, in America, so many people don't have the health care they need. That is a fact. Tens of millions of people, including middle class people.",
TAPPER," Thank you, Mr. Mayor.",
DE BLASIO, Give them a chance to make that decision through an election.,
TAPPER," Thank you, Mr. Mayor.",
TAPPER,"Vice President Biden, your response, sir?",
BIDEN," This is not a Republican talking point. The Republicans are trying to kill Obamacare. Obamacare took care of 20 million people right off the bat, 100 million people with pre-existing conditions. And in fact, what we got is a public option that, in fact, would allow anybody to buy in.",
BIDEN,"No one has to keep their private insurance. They can buy into this plan. And they can buy into it with $1,000 deductible and never have to pay more than 8.5 percent of their income when they do it. And if they don't have any money, they'll get in free. So this idea is a bunch of malarkey, what we're talking about here.",
BIDEN,(APPLAUSE),
BIDEN,"The fact of the matter is -- the fact of the matter is that there will be a deductible. It will be a deductible on their paycheck. Bernie acknowledges it. Bernie acknowledges it. Thirty trillion dollars has to ultimately be paid. And I don't know what math you do in New York, I don't know what math you do in California, but I tell ya, that's a lot of money, and there will be a deductible. The deductible will be out of your paycheck, because that's what will be required.",
TAPPER," Senator Harris, I want to bring you in here. Your response?",
TAPPER,(APPLAUSE),
